symbol,iqfSym,assetClass,exchange,description,tradedSym,notionalCurrency,notionalMultiplier,tickValueCurrency,tickValue,feesCurrency,feesPerLot
CGB0,,Bond,TMX,Canadian Bond,,CAD,1000,CAD,10,CAD,0
XT0,XT#C,Bond,SFE,Aus 10 Year,,AUD,1000,AUD,yield,AUD,0
YT0,YT#C,Bond,SFE,Aus 3 Year,,AUD,1000,AUD,yield,AUD,0
10TB0,,Bond,KRX,Korean 10 Yr Bond,,KRW,,KRW,10000,KRW,0
BM30,,Bond,KRX,Korean 3 Yr Bond,,KRW,,KRW,10000,KRW,0
JBL0,JG#C,Bond,OSE,Japanese Bond,,JPY,,,,,
AP0,SPI#C,Index,SFE,Aus Index,XPH4 Index,AUD,30,AUD,25,AUD,0
IND0,IND#C,Index,BMF,Brazil Stock Index,,,,,,,
VX0,@VX#C,Index,CBOE,Vol Index,,USD,1000,USD,50,USD,0
ES0,@ES#C,Index,CME,E-Mini Index,ESH4 Index,USD,50,USD,12.5,USD,0
NIY0,@NIY#C,Index,CME,Nikki/Yen Index,,JPY,500,JPY,2500,JPY,0
NQ0,@NQ#C,Index,CME,Nasdaq 100,NQH4 Index,USD,20,USD,5,USD,0
RTY0,@RTY#C,Index,CME,Russell 2000,RTYH4 Index,USD,50,USD,5,USD,0
YM0,@YM#C,Index,CME,Dow Jones,,USD,5,USD,5,USD,0
FDAX0,DXM#C,Index,EUREX,DAX,,EUR,25,EUR,25,EUR,0
FESX0,EX#C,Index,EUREX,Euro Stoxx 50 Index,,EUR,10,EUR,10,EUR,0
FESB0,SX#C,Index,EUREX,Euro Stoxx Banks,,EUR,50,EUR,2.5,EUR,0
FSMI0,SW#C,Index,EUREX,Swiss Blue Chip Index,SMH4 Index,CHF,10,CHF,10,CHF,0
FCE0,MT#C,Index,EURONEXT,CAC 40 Paris,,EUR,10,EUR,10,EUR,0
FTI0,AEX#C,Index,EURONEXT,Amsterdam Index,,EUR,200,EUR,10,EUR,0
HHI0,,Index,HKEX,H Shares Index,,HKD,50,HKD,50,HKD,0
HSI0,,Index,HKEX,Hong Kong Index,,HKD,50,HKD,50,HKD,0
ICE-LL_Z0,LF#C,Index,ICE,FTSE 100,,GBP,10,GBP,5,GBP,0
ICE-US_MME0,MEF#C,Index,ICE,MSCI Emerging Markets,,USD,50,USD,5,USD,0
ALSI0,ALJ#C,Index,JSE,Johannesburg Index,AIH4 Index,ZAR,10,ZAR,10,ZAR,0
KS0,,Index,KRX,KOSPI,,KRW,250000,KRW,12500,KRW,0
NK225M0,NN#C,Index,OSE,NIKKEI,,JPY,1000,JPY,10000,JPY,0
TOPIXM0,,Index,OSE,TOPIX,,JPY,10000,JPY,5000,JPY,0
SXF0,,Index,TMX,Canadian Index,,CAD,200,CAD,20,CAD,0
