description,assetClass,exchange,iqfAdjusted,iqfUnadjusted,predictor,target,inProd,iqfTradedSym,afbiTradedSym,QubeRIC,QubeInternal,notionalMultiplier,notionalCurrency,tickSize,tickCurrency,tickValue,spreadMulti,effSpread,oldSymbol
German Bund,Bond,EUREX,BD#C,BD#,Y,Y,Y,BDM24,RXM4 Comdty,RX1 Comdty,FGBLc1,1000,EUR,0.01,EUR,10,4,0.04,FGBL0
German Bobl,Bond,EUREX,BL#C,BL#,Y,Y,Y,BLM24,OEM4 Comdty,OE1 Comdty,FGBMc1,1000,EUR,0.01,EUR,10,4,0.04,FGBM0
German Schatz,Bond,EUREX,EZ#C,EZ#,Y,N,Y,EZM24,DUM4 Comdty,DU1 Comdty,DUc1,1000,EUR,0.005,EUR,5,4,0.02,FGBS0
German Buxl,Bond,EUREX,BX#C,BX#,Y,Y,Y,BXM24,UBM4 Comdty,UB1 Comdty,UBc1,1000,EUR,0.02,EUR,20,4,0.08,FGBX0
British Gilt,Bond,ICE,LG#C,LG#,Y,N,Y,LGM24,G M4 Comdty,G 1 Comdty,,1000,GBP,0.01,GBP,10,4,0.04,ICE-LL_R0
SPI 200,Index,SFE,SPI#C,SPI#,Y,Y,Y,SPIM24,XPM4 Index,XP1 Index,YAPc1,30,AUD,1,AUD,25,4,4,AP0
Vol Index,Index,CBOE,@VX#C,@VX#,Y,N,Y,@VXJ24,UXJ4 Index,UX1 Index,,1000,USD,0.05,USD,50,4,0.2,VX0
EMINI S&P,Index,CME,@ES#C,@ES#,Y,Y,Y,@ESM24,ESM4 Index,ES1 Index,ESc1,50,USD,0.25,USD,12.5,4,1,ES0
Nasdaq 100,Index,CME,@NQ#C,@NQ#,Y,Y,Y,@NQM24,NQM4 Index,NQ1 Index,NQc1,20,USD,0.25,USD,5,4,1,NQ0
Dow Jones,Index,CME,@YM#C,@YM#,Y,N,Y,@YMM24,DMM4 Index,DM1 Index,DMc1,5,USD,1,USD,5,4,4,YM0
DAX,Index,EUREX,DXM#C,DXM#,N,N,Y,DXMM24,GXM4 Index,GX1 Index,GXc1,25,EUR,1,EUR,25,4,4,FDAX0
Euro Stoxx 50 Index,Index,EUREX,EX#C,EX#,Y,Y,Y,EXM24,VGM4 Index,VG1 Index,,10,EUR,1,EUR,10,4,4,FESX0
Euro Stoxx Banks,Index,EUREX,SX#C,SX#,Y,Y,Y,SXM24,CAM4 Index,CA1 Index,CAc1,50,EUR,0.05,EUR,2.5,4,0.2,FESB0
SMI INDEX,Index,EUREX,SW#C,SW#,Y,Y,Y,SWM24,SMM4 Index,SM1 Index,FSMIc1,10,CHF,1,CHF,10,4,4,FSMI0
FTSE 100,Index,ICE,LF#C,LF#,Y,Y,Y,LFM24,Z M4 Index,Z 1 Index,Zc1,10,GBP,0.5,GBP,5,4,2,ICE-LL_Z0
ED OPI ALSI,Index,JSE,ALJ#C,ALJ#,N,N,Y,ALJM24,AIM4 Index,AI1 Index,ALSIc1,10,ZAR,1,ZAR,10,10,10,ALSI0
AUSTRALIAN DOLLAR,Fx,CME,@AD#C,@AD#,N,Y,Y,@ADM24,ADM4 Curncy,AD1 Curncy,ADc1,100000,USD,0.00005,USD,5,4,0.0002,6A0
BRITISH POUND,Fx,CME,@BP#C,@BP#,N,N,Y,@BPM24,BPM4 Curncy,BP1 Curncy,BPc1,62500,USD,0.0001,USD,6.25,4,0.0004,6B0
EURO FX,Fx,CME,@EU#C,@EU#,N,N,Y,@EUM24,ECM4 Curncy,EC1 Curncy,UROc1,125000,USD,0.00005,USD,6.25,4,0.0002,6E0
JAPANESE YEN,Fx,CME,@JY#C,@JY#,N,Y,Y,@JYM24,JYM4 Curncy,JY1 Curncy,JYc1,12500000,USD,0.0000005,USD,6.25,4,0.000002,6J0
AUD=,CashFx,FX,AUDUSD.COMP,AUDUSD.COMP,Y,N,N,,,,,,,,,,,0,AUD=
BRL=,CashFx,FX,BRLUSD.COMP,BRLUSD.COMP,Y,N,N,,,,,,,,,,,0,BRL=
CAD=,CashFx,FX,CADUSD.COMP,CADUSD.COMP,Y,N,N,,,,,,,,,,,0,CAD=
CHF=,CashFx,FX,CHFUSD.COMP,CHFUSD.COMP,Y,N,N,,,,,,,,,,,0,CHF=
EUR=,CashFx,FX,EURUSD.COMP,EURUSD.COMP,Y,N,N,,,,,,,,,,,0,EUR=
GBP=,CashFx,FX,GBPUSD.COMP,GBPUSD.COMP,Y,N,N,,,,,,,,,,,0,GBP=
HKD=,CashFx,FX,HKDUSD.COMP,HKDUSD.COMP,Y,N,N,,,,,,,,,,,0,HKD=
INR=,CashFx,FX,INRUSD.COMP,INRUSD.COMP,Y,N,N,,,,,,,,,,,0,INR=
JPY=,CashFx,FX,JPYUSD.COMP,JPYUSD.COMP,Y,N,N,,,,,,,,,,,0,JPY=
MXN=,CashFx,FX,MXNUSD.COMP,MXNUSD.COMP,Y,N,N,,,,,,,,,,,0,MXN=
NOK=,CashFx,FX,NOKUSD.COMP,NOKUSD.COMP,Y,N,N,,,,,,,,,,,0,NOK=
NZD=,CashFx,FX,NZDUSD.COMP,NZDUSD.COMP,Y,N,N,,,,,,,,,,,0,NZD=
RUB=,CashFx,FX,RUBUSD.COMP,RUBUSD.COMP,Y,N,N,,,,,,,,,,,0,RUB=
SEK=,CashFx,FX,SEKUSD.COMP,SEKUSD.COMP,Y,N,N,,,,,,,,,,,0,SEK=
SGD=,CashFx,FX,SGDUSD.COMP,SGDUSD.COMP,Y,N,N,,,,,,,,,,,0,SGD=
THB=,CashFx,FX,THBUSD.COMP,THBUSD.COMP,Y,N,N,,,,,,,,,,,0,THB=
TWD=,CashFx,FX,TWDUSD.COMP,TWDUSD.COMP,Y,N,N,,,,,,,,,,,0,TWD=
ZAR=,CashFx,FX,ZARUSD.COMP,ZARUSD.COMP,Y,N,N,,,,,,,,,,,0,ZAR=
Amsterdam Index,Index,EURONEXT,AEX#C,AEX#,Y,N,N,,,,,,,,,,,0,FTI0
CAC 40 Paris,Index,EURONEXT,MT#C,MT#,Y,N,N,,,,,,,,,,,0,FCE0
Brazil Stock Index,Index,BMF,IND#C,IND#,Y,N,N,,,,,,,,,,,0,IND0
Rapeseed / Colza,ExpCommod,EURONEXT,PG#C,PG#,Y,N,N,,,,,,,,,,,0,ECO0
Aus 10 Yr Bond,Bond,SFE,XT#C,XT#,Y,N,N,,,,,,,,,,,0,XT0
